reference_code,title,price,currency,url,collection,objectID
,,"2,440€",EUR,,,CRB7215500
,,"3,150€",EUR,,,CRB7225048
,,"3,200€",EUR,,,CRB8041600
,,"3,300€",EUR,,,CRB8301436
,,"3,300€",EUR,,,CRB8301432
,,"4,400€",EUR,,,CRB7225047
,,"4,850€",EUR,,,CRB7224889
,,"4,950€",EUR,,,CRB7224777
,,"5,050€",EUR,,,CRB6021300
,,"5,100€",EUR,,,CRB8301490
,,"5,750€",EUR,,,CRB7224582
,,"6,650€",EUR,,,CRB8043900
,,"6,750€",EUR,,,CRB8301512
,,"6,900€",EUR,,,CRB8301509
,,"9,150€",EUR,,,CRB8301225
,,"10,100€",EUR,,,CRB7225010
,,"12,100€",EUR,,,CRB7009000
,,"14,300€",EUR,,,CRB8301504
,,15600,EUR,,,CRH4393100
,,17500,EUR,,,CRH4393200
,,"24,300€",EUR,,,CRN7424210
,,"26,200€",EUR,,,CRN8515268
,,"108,000€",EUR,,,CRH6040017
,,"108,000€",EUR,,,CRH6038817
,,"156,000€",EUR,,,CRH7001111
,,"168,000€",EUR,,,CRH7000878
,,,EUR,,,CRN8515069
,,,EUR,,,CRN8502100
,,,EUR,,,CRN7424206
,,,EUR,,,CRN7405700
,,,EUR,,,CRN4235100
,,"1,010€",EUR,,,CRB6045517
,,"1,200€",EUR,,,CRB7224515
,,"1,480€",EUR,,,CRB6037200
,,"1,500€",EUR,,,CRB8301213
,,"1,610€",EUR,,,CRB7215900
,,"2,150€",EUR,,,CRB6063117
,,"2,320€",EUR,,,CRB8301407
,,"2,570€",EUR,,,CRB6090500
,,"2,610€",EUR,,,CRB7215400
,,"3,350€",EUR,,,CRB7225045
,,"3,400€",EUR,,,CRB8041400
,,"4,650€",EUR,,,CRB8301521
,,"4,700€",EUR,,,CRB7225046
,,5100,EUR,,,CRB4242100
,,"5,250€",EUR,,,CRB7224891
,,"5,400€",EUR,,,CRB6021400
,,"5,450€",EUR,,,CRB8301534
,,"6,200€",EUR,,,CRB7224583
,,"7,550€",EUR,,,CRB8301545
,,8750,EUR,,,CRB4243800
,,"10,800€",EUR,,,CRB7225012
,,"13,000€",EUR,,,CRB7009100
,,"45,900€",EUR,,,CRN7424525
,,,EUR,,,CRN8515055
,,,EUR,,,CRN8504300
,,,EUR,,,CRN7424191
,,,EUR,,,CRN7405500
,,,EUR,,,CRHP701034
,,,EUR,,,CRHP700950
,,950€,EUR,,,CRB6045717
